OldCommandName,NewCommandName
Add-AzureADMSAdministrativeUnitMember,New-MgDirectoryAdministrativeUnitMemberByRef
Add-AzureADMSScopedRoleMembership,New-MgDirectoryRoleScopedMember
Get-AzureADMSAdministrativeUnit,Get-MgDirectoryAdministrativeUnit
Get-AzureADMSAdministrativeUnitMember,Get-MgDirectoryAdministrativeUnitMember
Get-AzureADMSScopedRoleMembership,Get-MgUserScopedRoleMemberOf
New-AzureADMSAdministrativeUnit,New-MgDirectoryAdministrativeUnit
Remove-AzureADMSAdministrativeUnit,Remove-MgDirectoryAdministrativeUnit
Remove-AzureADMSAdministrativeUnitMember,Remove-MgDirectoryAdministrativeUnitScopedRoleMember
Remove-AzureADMSScopedRoleMembership,Remove-MgUserScopedRoleMemberOf
Get-AzureADApplicationProxyApplication,
Get-AzureADApplicationProxyApplicationConnectorGroup,
New-AzureADApplicationProxyApplication,
Remove-AzureADApplicationProxyApplication,
Remove-AzureADApplicationProxyApplicationConnectorGroup,
Set-AzureADApplicationProxyApplication,
Set-AzureADApplicationProxyApplicationCustomDomainCertificate,
Set-AzureADApplicationProxyApplicationSingleSignOn,
Get-AzureADApplicationProxyConnector,
Get-AzureADApplicationProxyConnectorGroup,
Get-AzureADApplicationProxyConnectorGroupMember,
Get-AzureADApplicationProxyConnectorMemberOf,
New-AzureADApplicationProxyConnectorGroup,
Remove-AzureADApplicationProxyConnectorGroup,
Set-AzureADApplicationProxyApplicationConnectorGroup,
Set-AzureADApplicationProxyConnector,
Set-AzureADApplicationProxyConnectorGroup,
Add-AzureADApplicationOwner,New-MgApplicationOwnerByRef
Get-AzureADApplication,Get-MgApplication
Get-AzureADApplicationExtensionProperty,Get-MgApplicationExtensionProperty
Get-AzureADApplicationKeyCredential, Get-MgApplication
Get-AzureADApplicationLogo,Get-MgApplicationLogo
Get-AzureADApplicationOwner,Get-MgApplicationOwner
Get-AzureADApplicationPasswordCredential,Get-MgApplication
Get-AzureADApplicationServiceEndpoint,Get-MgServicePrincipalEndpoint
Get-AzureADDeletedApplication,Get-MgDirectoryDeletedItem
New-AzureADApplication,New-MgApplication
New-AzureADApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADApplicationKeyCredential,Add-MgApplicationKey
New-AzureADApplicationPasswordCredential,Add-MgApplicationPassword
Remove-AzureADApplication,Remove-MgApplication
Remove-AzureADApplicationExtensionProperty,Remove-MgApplicationExtensionProperty
Remove-AzureADApplicationKeyCredential,Remove-MgApplicationKey
Remove-AzureADApplicationOwner,Remove-MgApplicationOwnerByRef
Remove-AzureADApplicationPasswordCredential,Remove-MgApplicationPassword
Set-AzureADApplication,Update-MgApplication
Set-AzureADApplicationLogo,Set-MgApplicationLogo
Add-AzureADMSApplicationOwner,New-MgApplicationOwnerByRef
Add-AzureADMSServicePrincipalDelegatedPermissionClassification,New-MgServicePrincipalDelegatedPermissionClassification
Get-AzureADCurrentSessionInfo,Get-MgContext
Get-AzureADMSApplication,Get-MgApplication
Get-AzureADMSApplicationExtensionProperty,Get-MgApplicationExtensionProperty
Get-AzureADMSApplicationOwner,Get-MgApplicationOwner
Get-AzureADMSConditionalAccessPolicy,Get-MgIdentityConditionalAccessPolicy
Get-AzureADMSDeletedDirectoryObject,Get-MgDirectoryDeletedItem
Get-AzureADMSDeletedGroup,Get-MgDirectoryDeletedItem
Get-AzureADMSIdentityProvider,Get-MgIdentityProvider
Get-AzureADMSNamedLocationPolicy,Get-MgIdentityConditionalAccessNamedLocation
Get-AzureADMSPermissionGrantConditionSet,Get-MgPolicyPermissionGrantPolicyInclude
Get-AzureADMSPermissionGrantConditionSet,Get-MgPolicyPermissionGrantPolicyExclude
Get-AzureADMSPermissionGrantPolicy,Get-MgPolicyPermissionGrantPolicy
Get-AzureADMSServicePrincipalDelegatedPermissionClassification,Get-MgServicePrincipalDelegatedPermissionClassification
Get-CrossCloudVerificationCode,Confirm-MgDomain
New-AzureADMSApplication,New-MgApplication
New-AzureADMSApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADMSApplicationKey,Add-MgApplicationKey
New-AzureADMSApplicationPassword,Add-MgApplicationPassword
New-AzureADMSConditionalAccessPolicy,New-MgIdentityConditionalAccessPolicy
New-AzureADMSIdentityProvider,New-MgIdentityProvider
New-AzureADMSNamedLocationPolicy,New-MgIdentityConditionalAccessNamedLocation
New-AzureADMSPermissionGrantConditionSet,New-MgPolicyPermissionGrantPolicyInclude
New-AzureADMSPermissionGrantConditionSet,New-MgPolicyPermissionGrantPolicyExclude
New-AzureADServicePrincipalKeyCredential,New-MgPolicyPermissionGrantPolicy
Remove-AzureADDeletedApplication,Remove-MgDirectoryDeletedItem
Remove-AzureADMSApplication,Remove-MgApplication
Remove-AzureADMSApplicationExtensionProperty,Remove-MgApplicationExtensionProperty
Remove-AzureADMSApplicationKey,Remove-MgApplicationKey
Remove-AzureADMSApplicationOwner,Remove-MgApplicationOwnerByRef
Remove-AzureADMSApplicationPassword,Remove-MgApplicationPassword
Remove-AzureADMSApplicationVerifiedPublisher,Clear-MgApplicationVerifiedPublisher
Remove-AzureADMSConditionalAccessPolicy,Remove-MgIdentityConditionalAccessPolicy
Remove-AzureADMSDeletedDirectoryObject,Remove-MgDirectoryObject
Remove-AzureADMSIdentityProvider,Remove-MgIdentityProvider
Remove-AzureADMSNamedLocationPolicy,Remove-MgIdentityConditionalAccessNamedLocation
Remove-AzureADMSPermissionGrantConditionSet,Remove-MgPolicyPermissionGrantPolicyInclude
Remove-AzureADMSPermissionGrantConditionSet,Remove-MgPolicyPermissionGrantPolicyExclude
Remove-AzureADMSPermissionGrantPolicy,Remove-MgPolicyPermissionGrantPolicy
Remove-AzureADMSServicePrincipalDelegatedPermissionClassification,Remove-MgServicePrincipalDelegatedPermissionClassification
Restore-AzureADMSDeletedDirectoryObject,Restore-MgDirectoryDeletedItem
Set-AzureADMSAdministrativeUnit,Update-MgDirectoryAdministrativeUnit
Set-AzureADMSApplication,Update-MgApplication
Set-AzureADMSApplicationLogo,Set-MgApplicationLogo
Set-AzureADMSApplicationVerifiedPublisher,Set-MgApplicationVerifiedPublisher
Set-AzureADMSConditionalAccessPolicy,Update-MgIdentityConditionalAccessPolicy
Set-AzureADMSIdentityProvider,Update-MgIdentityProvider
Set-AzureADMSNamedLocationPolicy,Update-MgIdentityConditionalAccessNamedLocation
Set-AzureADMSPermissionGrantConditionSet,Update-MgPolicyPermissionGrantPolicyInclude
Set-AzureADMSPermissionGrantConditionSet,Update-MgPolicyPermissionGrantPolicyExclude
Set-AzureADMSPermissionGrantPolicy,Update-MgPolicyPermissionGrantPolicy
Get-AzureADTrustedCertificateAuthority,Get-MgOrganizationCertificateBasedAuthConfiguration
New-AzureADTrustedCertificateAuthority,
Remove-AzureADTrustedCertificateAuthority,
Set-AzureADTrustedCertificateAuthority,
Connect-AzureAD,Connect-MgGraph
Disconnect-AzureAD,Disconnect-MgGraph
Get-AzureADContact,Get-MgContact
Get-AzureADContactDirectReport,Get-MgContactDirectReport
Get-AzureADContactManager,Get-MgContactManager
Get-AzureADContactMembership,Get-MgContactMemberOf
Get-AzureADContactThumbnailPhoto,
Remove-AzureADContact,Remove-MgContact
Remove-AzureADContactManager,
Select-AzureADGroupIdsContactIsMemberOf,Get-MgContactMemberOf
Get-AzureADContract,Get-MgContract
Restore-AzureADDeletedApplication,Restore-MgDirectoryDeletedItem
Add-AzureADDeviceRegisteredOwner,New-MgDeviceRegisteredOwnerByRef
Add-AzureADDeviceRegisteredUser,
Get-AzureADDevice,Get-MgDevice
Get-AzureADDeviceConfiguration,Get-MgDeviceManagementDeviceConfiguration
Get-AzureADDeviceRegisteredOwner,Get-MgDeviceRegisteredOwner
Get-AzureADDeviceRegisteredUser,Get-MgDeviceRegisteredUser
New-AzureADDevice,New-MgDevice
Remove-AzureADDevice,Remove-MgDevice
Remove-AzureADDeviceRegisteredOwner,Remove-MgDeviceRegisteredOwnerByRef
Remove-AzureADDeviceRegisteredUser,
Set-AzureADDevice,Update-MgDevice
Get-AzureADSubscribedSku,Get-MgSubscribedSku
Get-AzureADTenantDetail,Get-MgOrganization
Set-AzureADTenantDetail,Update-MgOrganization
Get-AzureADObjectByObjectId,Get-MgDirectoryObjectById
Add-AzureADDirectoryRoleMember,New-MgDirectoryRoleMemberByRef
Enable-AzureADDirectoryRole,New-MgDirectoryRoleTemplate
Get-AzureADDirectoryRole,Get-MgDirectoryRole
