"Name","Module","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Get-AzureADDeviceRegisteredUser","AzureAD","Get-MgDeviceRegisteredUser","Microsoft.Graph.Identity.DirectoryManagement","All","All","Device.Read.All Directory.Read.All Directory.ReadWrite.All","Device.Read.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADDirectoryRole","AzureAD","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Filter","Filter","Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRole","AzureAD","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","ObjectId","","Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRoleMember","AzureAD","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","ObjectId","","Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All RoleManagement.Read.Directory RoleManagement.ReadWrite.Directory",
"Get-AzureADDomain","AzureAD","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Name","","Directory.Read.All Domain.Read.All Domain.ReadWrite.All","Directory.Read.All Domain.Read.All Domain.ReadWrite.All",
"Get-AzureADDomainNameReference","AzureAD","Get-MgDomainDomainNameReferenceByRef","Microsoft.Graph.Identity.DirectoryManagement","Name","","Domain.Read.All Domain.ReadWrite.All","Domain.Read.All Domain.ReadWrite.All",
"Get-AzureADDomainServiceConfigurationRecord","AzureAD","Get-MgDomainServiceConfigurationRecord","Microsoft.Graph.Identity.DirectoryManagement","Name","","Domain.Read.All Domain.ReadWrite.All","Domain.Read.All Domain.ReadWrite.All",
"Get-AzureADDomainVerificationDnsRecord","AzureAD","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Name","","Domain.Read.All Domain.ReadWrite.All","Domain.Read.All Domain.ReadWrite.All",
"Get-AzureADExtensionProperty","AzureAD","Get-MgDirectoryObjectAvailableExtensionProperty","Microsoft.Graph.DirectoryObjects","IsSyncedFromOnPremises","IsSyncedFromOnPremises",,,
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","ObjectId","","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Filter","Filter","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Top","Top","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","SearchString","","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","All","All","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADGroupAppRoleAssignment","AzureAD","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","Top","Top","AppRoleAssignment.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AppRoleAssignment.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADGroupAppRoleAssignment","AzureAD","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","ObjectId","","AppRoleAssignment.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AppRoleAssignment.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADGroupAppRoleAssignment","AzureAD","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","All","All","AppRoleAssignment.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AppRoleAssignment.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADGroupMember","AzureAD","Get-MgGroupMember","Microsoft.Graph.Groups","Top","Top","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All",
"Get-AzureADGroupMember","AzureAD","Get-MgGroupMember","Microsoft.Graph.Groups","ObjectId","","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All",
"Get-AzureADGroupMember","AzureAD","Get-MgGroupMember","Microsoft.Graph.Groups","All","All","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All",
"Get-AzureADGroupOwner","AzureAD","Get-MgGroupOwner","Microsoft.Graph.Groups","Top","Top","Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All","Directory.AccessAsUser.All Directory.Read.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All GroupMember.ReadWrite.All",
