"Name","Module","GraphCmdName","GraphModuleName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Get-MsolRole","MSOnline","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-MsolRoleMember","MSOnline","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-MsolScopedRoleMember","MSOnline","Get-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-MsolServicePrincipal","MSOnline","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-MsolServicePrincipalCredential","MSOnline","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-MsolSubscription","MSOnline","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All",
"Get-MsolUser","MSOnline","Get-MgUser","Microsoft.Graph.Users","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.Read.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.Read.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadBasic.All, User.ReadWrite.All, User.Read, User.ReadWrite",
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","Microsoft.Graph.DeviceManagement.Enrolment","RoleManagement.Read.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","RoleAssignmentSchedule.Read.Directory, RoleAssignmentSchedule.ReadWrite.Directory, RoleManagement.Read.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-MsolUserRole","MSOnline","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All, User.Read",
"New-MsolAdministrativeUnit","MSOnline","New-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"New-MsolDomain","MSOnline","New-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"New-MsolFederatedDomain","MSOnline","",,"","",
"New-MsolGroup","MSOnline","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"New-MsolLicenseOptions","MSOnline","Set-MgUserLicense","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All, User.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite.All",
"New-MsolServicePrincipal","MSOnline","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-MsolServicePrincipalAddresses","MSOnline","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"New-MsolUser","MSOnline","New-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ReadWrite.All",
"New-MsolWellKnownGroup","MSOnline","",,"","",
"Redo-MsolProvisionContact","MSOnline","",,"","",
"Redo-MsolProvisionGroup","MSOnline","",,"","",
"Redo-MsolProvisionUser","MSOnline","",,"","",
"Remove-MsolAdministrativeUnit","MSOnline","Remove-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"Remove-MsolAdministrativeUnitMember","MSOnline","Remove-MgDirectoryAdministrativeUnitScopedRoleMember","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Remove-MsolApplicationPassword","MSOnline","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-MsolContact","MSOnline","Remove-MgContact","Microsoft.Graph.Identity.DirectoryManagement",,,
"Remove-MsolDevice","MSOnline","Remove-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Remove-MsolDomain","MSOnline","Remove-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Remove-MsolFederatedDomain","MSOnline","",,"","",
"Remove-MsolForeignGroupFromRole","MSOnline","",,"","",
"Remove-MsolGroup","MSOnline","Remove-MgGroup","Microsoft.Graph.Groups","Group.ReadWrite.All","Group.ReadWrite.All",
"Remove-MsolGroupMember","MSOnline","Remove-MgGroupMemberByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All, GroupMember.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All, GroupMember.ReadWrite.All",
"Remove-MsolRoleMember","MSOnline","",,"","",
"Remove-MsolScopedRoleMember","MSOnline","Remove-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement",,,
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-MsolServicePrincipalCredential","MSOnline","Remove-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-MsolUser","MSOnline","Remove-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, User.ReadWrite.All",
"Reset-MsolStrongAuthenticationMethodByUpn","MSOnline","",,"","",
"Restore-MsolUser","MSOnline","Restore-MgUser",,"","",
"Set-MsolADFSContext","MSOnline","",,"","",
"Set-MsolAdministrativeUnit","MSOnline","Update-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"Set-MsolCompanyAllowedDataLocation","MSOnline","",,"","",
"Set-MsolCompanyContactInformation","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All",
"Set-MsolCompanyMultiNationalEnabled","MSOnline","",,"","",
"Set-MsolCompanySecurityComplianceContactInformation","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All",
"Set-MsolCompanySettings","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All",
"Set-MsolDeviceRegistrationServicePolicy","MSOnline","",,"","",
"Set-MsolDirSyncConfiguration","MSOnline","",,"","",
"Set-MsolDirSyncEnabled","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All",
"Set-MsolDirSyncFeature","MSOnline","",,"","",
"Set-MsolDomain","MSOnline","Update-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Set-MsolDomainAuthentication","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Set-MsolDomainFederationSettings","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Set-MsolGroup","MSOnline","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Set-MsolPartnerInformation","MSOnline","",,"","",
"Set-MsolPasswordPolicy","MSOnline","",,"","",
"Set-MsolServicePrincipal","MSOnline","Update-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-MsolUser","MSOnline","Update-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite, User.ReadWrite.All",
"Set-MsolUserLicense","MSOnline","Set-MgUserLicense","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All, User.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite.All",
"Set-MsolUserPassword","MSOnline","Reset-MgUserAuthenticationMethodPassword","Microsoft.Graph.Users.Actions","UserAuthenticationMethod.ReadWrite.All","UserAuthenticationMethod.ReadWrite.All",
"Set-MsolUserPrincipalName","MSOnline","Update-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite, User.ReadWrite.All",
"Update-MsolFederatedDomain","MSOnline","",,"","",
"Get-AzureADApplicationProxyConnectorGroupMembers","AzureAD","",,"","",
"Add-AzureADApplicationOwner","AzureAD","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Add-AzureADDeviceRegisteredOwner","AzureAD","New-MgDeviceRegisteredOwnerByRef","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Add-AzureADDeviceRegisteredUser","AzureAD","New-MgDeviceRegisteredUserByRef",,"","",
"Add-AzureADDirectoryRoleMember","AzureAD","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Add-AzureADGroupMember","AzureAD","New-MgGroupMember","Microsoft.Graph.Groups",,,
"Add-AzureADGroupOwner","AzureAD","New-MgGroupOwnerByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Add-AzureADMSAdministrativeUnitMember","AzureAD","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All, Directory.ReadWrite.All, Group.ReadWrite.All","AdministrativeUnit.ReadWrite.All, Directory.AccessAsUser.All, Directory.ReadWrite.All, Group.ReadWrite.All",
"Add-AzureADMSApplicationOwner","AzureAD","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Add-AzureADMSLifecyclePolicyGroup","AzureAD","New-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"Add-AzureADMSScopedRoleMembership","AzureAD","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement",,,
"Add-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","New-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Add-AzureADServicePrincipalOwner","AzureAD","New-MgServicePrincipalOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Confirm-AzureADDomain","AzureAD","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Connect-AzureAD","AzureAD","Connect-MgGraph","Microsoft.Graph.Authentication",,,
"Disconnect-AzureAD","AzureAD","Disconnect-MgGraph","Microsoft.Graph.Authentication",,,
"Enable-AzureADDirectoryRole","AzureAD","New-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement",,,
"Get-AzureADApplication","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationExtensionProperty","AzureAD","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationKeyCredential","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","Microsoft.Graph.Applications",,,
"Get-AzureADApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADApplicationPasswordCredential","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationProxyApplication","AzureAD","",,"","",
"Get-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","",,"","",
"Get-AzureADApplicationProxyConnector","AzureAD","",,"","",
"Get-AzureADApplicationProxyConnectorGroup","AzureAD","",,"","",
"Get-AzureADApplicationProxyConnectorGroupMember","AzureAD",", ",,"","",
"Get-AzureADApplicationProxyConnectorMemberOf","AzureAD","",,"","",
"Get-AzureADApplicationServiceEndpoint","AzureAD","Get-MgServicePrincipalEndpoint","Microsoft.Graph.Applications",,,
"Get-AzureADContact","AzureAD","Get-MgContact","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All",
"Get-AzureADContactDirectReport","AzureAD","Get-MgContactDirectReport","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactManager","AzureAD","Get-MgContactManager","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactMembership","AzureAD","Get-MgContactMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactThumbnailPhoto","AzureAD","",,"","",
"Get-AzureADContract","AzureAD","Get-MgContract","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADCurrentSessionInfo","AzureAD","Get-MgContext","Microsoft.Graph.Authentication",,,
"Get-AzureADDeletedApplication","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All",
"Get-AzureADDevice","AzureAD","Get-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All",
"Get-AzureADDeviceConfiguration","AzureAD","Get-MgDeviceManagementDeviceConfiguration","Microsoft.Graph.DeviceManagement","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All",
"Get-AzureADDeviceRegisteredOwner","AzureAD","Get-MgDeviceRegisteredOwner","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADDeviceRegisteredUser","AzureAD","Get-MgDeviceRegisteredUser","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADDirectoryRole","AzureAD","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRoleMember","AzureAD","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRoleTemplate","AzureAD","Get-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDomain","AzureAD","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADDomainNameReference","AzureAD","Get-MgDomainDomainNameReferenceByRef",,"","",
