"Name","Module","GraphCmdName","GraphModuleName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All, Directory.ReadWrite.All, Group.ReadWrite.All","AdministrativeUnit.ReadWrite.All, Directory.AccessAsUser.All, Directory.ReadWrite.All, Group.ReadWrite.All",
"Add-MsolForeignGroupToRole","MSOnline","",,"","",
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups",,,
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement",,,
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolEmailVerifiedDomain","MSOnline","",,"","",
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication",,,
"Convert-MsolDomainToFederated","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Convert-MsolDomainToStandard","MSOnline","Remove-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Convert-MsolFederatedUser","MSOnline","",,"","",
"Disable-MsolDevice","MSOnline","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Enable-MsolDevice","MSOnline","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Get-MsolAccountSku","MSOnline","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-MsolAdministrativeUnitMember","MSOnline","Get-MgDirectoryAdministrativeUnitMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-MsolCompanyAllowedDataLocation","MSOnline","",,"","",
"Get-MsolCompanyInformation","MSOnline","Get-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All, User.Read",
"Get-MsolContact","MSOnline","Get-MgContact","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All",
"Get-MsolDevice","MSOnline","Get-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All",
"Get-MsolDeviceRegistrationServicePolicy","MSOnline","Get-MgPolicyDeviceRegistrationPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All","Policy.Read.All, Policy.ReadWrite.DeviceConfiguration",
"Get-MsolDirSyncConfiguration","MSOnline","Get-MgDirectoryOnPremisSynchronization","Microsoft.Graph.Identity.DirectoryManagement",,,
"Get-MsolDirSyncFeatures","MSOnline","",,"","",
"Get-MsolDirSyncProvisioningError","MSOnline","",,"","",
"Get-MsolDomain","MSOnline","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All",
"Get-MsolDomainFederationSettings","MSOnline","Get-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-MsolDomainVerificationDns","MSOnline","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-MsolFederationProperty","MSOnline","",,"","",
"Get-MsolGroup","MSOnline","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All",
"Get-MsolGroupMember","MSOnline","Get-MgGroupMember","Microsoft.Graph.Groups","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-MsolHasObjectsWithDirSyncProvisioningErrors","MSOnline","",,"","",
"Get-MsolPartnerContract","MSOnline","Get-MgContract","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-MsolPartnerInformation","MSOnline","",,"","",
"Get-MsolPasswordPolicy","MSOnline","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All",
